Asunto	PERSONAL	Fecha de comienzo	Comienzo	Fecha de finalización	Finalización	CATEGORIA	Description	Location
Campo OFENSA INSTALL RUN / DEFENSA EDD	MAYOR	5/7/2025	1:45:00 p.m.	5/7/2025	3:00:00 p.m.	CAMPO	Ofensa Instal RUN, Defensa EDD's.	GYM Borregos CEM
Gym JUV OFENSA /DEFENSA	JUVENIL	3/6/2025	4:30:00 p.m.	3/6/2025	6:30:00 p.m.	S&C	HORARIO DE VIDEO O WALKTHROUGH DEFINIDO POR TU COACH	Gym Borregos CEM 
CAMPO JUV 	JUVENIL	3/7/2025	4:30:00 p.m.	3/7/2025	6:30:00 p.m.	CAMPO	UPPERS	Campo FBA
CAMPO JUV 	JUVENIL	3/10/2025	4:30:00 p.m.	3/10/2025	6:30:00 p.m.	CAMPO	UPPERS	Campo FBA
Gym JUV OFENSA /DEFENSA	JUVENIL	3/11/2025	4:30:00 p.m.	3/11/2025	7:00:00 p.m.	S&C	HORARIO DE VIDEO O WALKTHROUGH DEFINIDO POR TU COACH	Campo FBA
CAMPO JUV 	JUVENIL	3/12/2025	4:30:00 p.m.	3/12/2025	6:30:00 p.m.	CAMPO	UPPERS	Campo FBA
Gym JUV OFENSA /DEFENSA	JUVENIL	3/13/2025	4:30:00 p.m.	3/13/2025	7:00:00 p.m.	S&C	HORARIO DE VIDEO O WALKTHROUGH DEFINIDO POR TU COACH	Campo FBA
CAMPO JUV 	JUVENIL	3/14/2025	4:30:00 p.m.	3/14/2025	6:30:00 p.m.	CAMPO	UPPERS	Campo FBA
TEST	MAYOR	5/8/2025	1:00:00 p.m.	5/8/2025	3:00:00 p.m.	S&C		GYM Borregos CEM
TEST	MAYOR	5/9/2025	1:00:00 p.m.	5/9/2025	3:00:00 p.m.	S&C		GYM Borregos CEM
Descarga	MAYOR	5/12/2025	1:00:00 p.m.	5/12/2025	3:00:00 p.m.	S&C	Regenerativo en Campo 	GYM Borregos CEM
Descarga	MAYOR	5/13/2025	1:00:00 p.m.	5/13/2025	3:00:00 p.m.	S&C	Regenerativo en Campo 	GYM Borregos CEM
Campo OFENSA INSTALL RUN / DEFENSA EDD	MAYOR	5/14/2025	1:45:00 p.m.	5/14/2025	3:00:00 p.m.	CAMPO	Ofensa Instal RUN, Defensa EDD's.	GYM Borregos CEM
Descarga	MAYOR	5/15/2025	1:00:00 p.m.	5/15/2025	3:00:00 p.m.	S&C	Regenerativo en Campo 	GYM Borregos CEM
Descarga	MAYOR	5/16/2025	1:00:00 p.m.	5/16/2025	3:00:00 p.m.	S&C	Regenerativo en Campo 	GYM Borregos CEM
Resistencia a la Fuerza 	MAYOR	5/19/2025	1:00:00 p.m.	5/19/2025	3:00:00 p.m.	S&C		GYM Borregos CEM
Resistencia a la Fuerza 	MAYOR	5/20/2025	1:00:00 p.m.	5/20/2025	3:00:00 p.m.	S&C		GYM Borregos CEM
Resistencia a la Fuerza 	MAYOR	5/22/2025	1:00:00 p.m.	5/22/2025	3:00:00 p.m.	S&C		GYM Borregos CEM
Resistencia a la Fuerza 	MAYOR	5/23/2025	1:00:00 p.m.	5/23/2025	3:00:00 p.m.	S&C		GYM Borregos CEM
Descarga Campo 	MAYOR	5/26/2025	1:00:00 p.m.	5/26/2025	3:00:00 p.m.	S&C		Campo Borregos CEM
PRACTICA COMPARTIDA REDSKINS	JUVENIL	3/15/2025	12:00:00 p.m.	3/15/2025	1:00:00 p.m.	CAMPO	PRACTICA COMPARTIDA	Campo FBA
Descarga Alberca 	MAYOR	5/27/2025	1:00:00 p.m.	5/27/2025	3:00:00 p.m.	S&C		Alberca CEM 
Descarga Hielos 	MAYOR	5/28/2025	1:00:00 p.m.	5/28/2025	3:00:00 p.m.	S&C		Arena Borregos
Asueto	GENERAL	3/17/2025	12:00:00 a.m.	3/17/2025	11:30:00 p.m.	ASUETO		
Descarga Skills & Drills 	MAYOR	5/29/2025	1:00:00 p.m.	5/29/2025	3:00:00 p.m.	S&C		Campo Borregos CEM
Descarga Alberca 	MAYOR	5/30/2025	1:00:00 p.m.	5/30/2025	3:00:00 p.m.	S&C		Alberca CEM 
Gym JUV OFENSA /DEFENSA	JUVENIL	3/18/2025	4:30:00 p.m.	3/18/2025	6:30:00 p.m.	S&C	GYM Y HORARIO DE VIDEO DEFINIDO POR TU COACH	GYM Borregos CEM
